curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00259,weibull,0.0433015924396469,0.0452300865255932,True,"[9.765098340779822, 0.010000000000046999, 0.23762424466006968]"
NU00260,weibull,0.016546882663823,0.0163008837501372,True,"[44.35948280429745, 3.043911788158094, 0.521986548473225]"
NU00261,weibull,0.0109986379463846,0.0102406958952761,True,"[39.20146532504901, 0.010000000000005576, 0.18856019693704132]"
NU00262,weibull,0.0486300361374087,0.0507675200680058,True,"[6.801066038149783, 0.010000000003847164, 0.2705891103617796]"
NU00264,weibull,0.0190197675999563,0.0169659689228823,True,"[56.27691161393439, 0.010000000000000748, 0.4357326798116051]"
NU00265,weibull,0.0390684102162049,0.0395915241093528,True,"[12.630876482203636, 0.01000000000001644, 0.2155817206863846]"
NU00266,weibull,0.0111667086004994,0.0106707794249775,True,"[60.2769853796434, 0.6438630170258118, 0.2806217539484328]"
NU00267,weibull,0.008243756231211,0.0080752318329791,False,"[59.1083322014086, 0.31609783789979123, 0.17366576007326212]"
NU00268,weibull,0.0112068656012838,0.0110651957765557,False,"[49.120954806228376, 1.1989795164262482, 0.33337948246438776]"
NU00269,weibull,0.0077739763934002,0.0076950399016822,False,"[53.13957607984051, 0.3740294045042823, 0.250356531206733]"
NU00270,weibull,0.0588846569913217,0.0654030196146022,True,"[5.5820797800700275, 0.010000000000091167, 0.3542963135092542]"
NU00271,weibull,0.049812415045136,0.0540944876147028,True,"[8.655904179356954, 0.010000000000020047, 0.24156304923453786]"
NU00272,weibull,0.0306957570271918,0.03008761816299,True,"[8.263719333758848, 0.010000000000016896, 0.2687534782568467]"
NU00274,weibull,0.0307333905296428,0.0290610224590407,True,"[9.729430314133774, 2.179283116560029, 0.7704869804956259]"
NU00275,weibull,0.0189006547376259,0.0180787679353742,True,"[9.827337524812725, 0.010000000000000158, 0.23397341691092907]"
NU00287,weibull,0.0205091125290776,0.0203971966593489,True,"[98.63825763430839, 1.6906937478469082, 0.5051192447112601]"
NU00288,weibull,0.0169445691878103,0.0165888230786066,True,"[126.76131551002587, 1.2526351872872317, 0.44403273796888526]"
NU00335,weibull,0.0191218583419506,0.0182552433268905,True,"[45.98402585930481, 1.5705499825660716, 0.41074282776336485]"
NU00339,weibull,0.0254389049589085,0.0246745208730507,True,"[318.778607850715, 0.010000000000000042, 0.18390961348174673]"
NU00341,weibull,0.0316063952556457,0.0305793599330254,True,"[235.65758518393713, 4.135224489561568, 0.41484651735398564]"
